N,p,f,pop_type,n_sel,n_exp,n_frac,e_max,e_mean,p_hat,p_true,bias
50,2,0.3,mixed,12,15,2,0.050940189995253085,0.04127619927711043,0.4,0.6,-0.19999999999999996
50,2,0.3,mixed,15,15,2,0.17557395303804232,0.17059842448829604,0.5333333333333333,0.6,-0.06666666666666665
50,2,0.3,mixed,13,15,2,0.027540612840856224,0.022094918336672674,0.5333333333333333,0.6,-0.06666666666666665
50,2,0.3,mixed,17,15,2,0.09261242155864184,0.06920958953909048,0.6,0.6,0.0
50,2,0.3,mixed,17,15,2,0.5205307545885588,0.2934819124842826,0.6666666666666667,0.6,0.06666666666666676
50,2,0.3,mixed,13,15,2,0.1918783859977846,0.17807044645018422,0.6,0.6,0.0
50,2,0.3,mixed,11,15,2,0.6738540236847143,0.3603906347801892,0.5333333333333333,0.6,-0.06666666666666665
50,2,0.3,mixed,12,15,2,0.7452272426437563,0.4060106079800044,0.6,0.6,0.0
50,2,0.3,mixed,12,15,2,0.547107480880252,0.28759600653835304,0.5333333333333333,0.6,-0.06666666666666665
50,2,0.3,mixed,14,15,2,0.16493271262260153,0.08309091422012937,0.5333333333333333,0.6,-0.06666666666666665
50,2,0.7,mixed,35,35,2,0.07920735459827052,0.06936692848962181,0.6285714285714284,0.6,0.02857142857142847
50,2,0.7,mixed,36,35,2,0.15924035904214118,0.08077519042988539,0.6285714285714284,0.6,0.02857142857142847
50,2,0.7,mixed,36,35,2,0.035294658408145295,0.02366135364653612,0.6,0.6,0.0
50,2,0.7,mixed,35,35,2,0.04329740864376288,0.03883389855641463,0.6285714285714284,0.6,0.02857142857142847
50,2,0.7,mixed,37,35,2,0.13484835015656693,0.06979181143569363,0.6,0.6,0.0
50,2,0.7,mixed,31,35,2,0.10761369667863585,0.05566318208333053,0.6285714285714284,0.6,0.02857142857142847
50,2,0.7,mixed,39,35,2,0.1808670572905004,0.11571545398172953,0.5999999999999999,0.6,-1.1102230246251565e-16
50,2,0.7,mixed,32,35,2,0.08671538827998237,0.05361721486151507,0.4857142857142857,0.6,-0.11428571428571427
50,2,0.7,mixed,35,35,2,8.523601345419827,4.2739478817034815,0.5714285714285714,0.6,-0.02857142857142858
50,2,0.7,mixed,38,35,2,0.13869611937475565,0.07449573999448911,0.5714285714285713,0.6,-0.028571428571428692
50,5,0.3,mixed,17,15,5,0.5946099794189165,0.18980596210670392,0.7333333333333334,0.6,0.13333333333333341
50,5,0.3,mixed,16,15,5,11.942345516330901,2.4305346921052555,0.6666666666666667,0.6,0.06666666666666676
50,5,0.3,mixed,15,15,5,0.7273742572929875,0.2842695070880615,0.5333333333333333,0.6,-0.06666666666666665
50,5,0.3,mixed,16,15,5,0.4335823551050671,0.12813525446336774,0.6666666666666667,0.6,0.06666666666666676
50,5,0.3,mixed,16,15,5,3.8047629573905137,1.248877609935168,0.5333333333333333,0.6,-0.06666666666666665
50,5,0.3,mixed,14,15,5,0.23118496102781327,0.10916182422129603,0.6666666666666665,0.6,0.06666666666666654
50,5,0.3,mixed,15,15,5,0.6468455192744419,0.26181080884735186,0.6,0.6,0.0
50,5,0.3,mixed,17,15,5,1.3418311923574142,0.32184295527272927,0.6666666666666667,0.6,0.06666666666666676
50,5,0.3,mixed,17,15,5,2.023765945410576,0.5573454995854312,0.6,0.6,0.0
50,5,0.3,mixed,17,15,5,6.854335329965687,1.457828094815497,0.6,0.6,0.0
50,5,0.7,mixed,33,35,5,0.04043223647729713,0.014343479408591792,0.6,0.6,0.0
50,5,0.7,mixed,33,35,5,0.923833783129177,0.19929931974656145,0.5714285714285714,0.6,-0.02857142857142858
50,5,0.7,mixed,35,35,5,1.017174258217155,0.24408738446586495,0.6,0.6,0.0
50,5,0.7,mixed,33,35,5,0.6516489461685558,0.22742279405233243,0.4857142857142856,0.6,-0.11428571428571438
50,5,0.7,mixed,34,35,5,0.19309288238809968,0.07521271157608846,0.5714285714285714,0.6,-0.02857142857142858
50,5,0.7,mixed,34,35,5,0.314475065181819,0.0814046010472336,0.6285714285714284,0.6,0.02857142857142847
50,5,0.7,mixed,35,35,5,0.2488524275296321,0.09753281625975718,0.6285714285714286,0.6,0.02857142857142858
50,5,0.7,mixed,33,35,5,0.13049825273632631,0.0635484825683452,0.5714285714285714,0.6,-0.02857142857142858
50,5,0.7,mixed,36,35,5,0.21601105887960353,0.06927062575045609,0.5714285714285714,0.6,-0.02857142857142858
50,5,0.7,mixed,36,35,5,0.5067527068023285,0.12027502467855969,0.6,0.6,0.0
100,2,0.3,mixed,30,30,2,0.09463753981886264,0.06612237517508252,0.5666666666666668,0.6,-0.033333333333333215
100,2,0.3,mixed,30,30,2,0.10026255769966794,0.09457218060839095,0.6000000000000001,0.6,1.1102230246251565e-16
100,2,0.3,mixed,31,30,2,8.249948284903851,4.138483721622397,0.7000000000000002,0.6,0.1000000000000002
100,2,0.3,mixed,27,30,2,0.03499737032944451,0.025772203578596605,0.5000000000000001,0.6,-0.09999999999999987
100,2,0.3,mixed,27,30,2,0.18324323502026127,0.0954267485047638,0.6333333333333333,0.6,0.033333333333333326
100,2,0.3,mixed,29,30,2,0.17549544174461437,0.10364274793428534,0.6000000000000001,0.6,1.1102230246251565e-16
100,2,0.3,mixed,29,30,2,0.4991545154736627,0.27150183096370345,0.6666666666666667,0.6,0.06666666666666676
100,2,0.3,mixed,35,30,2,0.49375360642450866,0.27685432940228416,0.7,0.6,0.09999999999999998
100,2,0.3,mixed,28,30,2,0.12896927691570262,0.07770745898681408,0.5666666666666668,0.6,-0.033333333333333215
100,2,0.3,mixed,30,30,2,0.05909443593562098,0.04890407664771616,0.6000000000000001,0.6,1.1102230246251565e-16
100,2,0.7,mixed,68,70,2,0.02288789887489785,0.012495092254540952,0.5714285714285715,0.6,-0.02857142857142847
100,2,0.7,mixed,72,70,2,0.254035491325889,0.12774798190577477,0.7,0.6,0.09999999999999998
100,2,0.7,mixed,73,70,2,0.33571511067715976,0.17113549708874334,0.6142857142857143,0.6,0.014285714285714346
100,2,0.7,mixed,68,70,2,0.15525091170793515,0.08282981098638949,0.6000000000000001,0.6,1.1102230246251565e-16
100,2,0.7,mixed,70,70,2,0.716259037462101,0.3675936064291725,0.5571428571428573,0.6,-0.042857142857142705
100,2,0.7,mixed,63,70,2,2.7669973349278627,1.389984773058715,0.5,0.6,-0.09999999999999998
100,2,0.7,mixed,70,70,2,2.0827740872104337,1.0705670742012967,0.5857142857142857,0.6,-0.014285714285714235
