N,p,f,pop_type,alpha,p_true,cube_e_max,cube_e_mean,cube_bias,cube_nfrac,cube_nsel,sph_e_max,sph_e_mean,sph_bias,sph_nfrac,sph_nsel,delta_e_max,delta_e_mean,delta_bias,rep
50,2,0.3,mixed,0.0,0.6,0.021147304410361983,0.020776121951724104,0.06666666666666654,2,14,0.7606813947532347,0.4391452469439854,0.0,2,15,0.7395340903428728,0.41836912499226125,-0.06666666666666654,0
50,2,0.3,mixed,0.0,0.6,0.20134276390628147,0.1457995160799598,0.06666666666666676,2,16,0.032822600639524684,0.029343221588702267,0.20000000000000007,2,17,-0.16852016326675678,-0.11645629449125754,0.1333333333333333,1
50,2,0.3,mixed,0.0,0.6,0.14907003125683946,0.09169338057395594,0.0,2,13,0.04101191683307729,0.026114836404704096,0.20000000000000018,2,19,-0.10805811442376217,-0.06557854416925185,0.20000000000000018,2
50,2,0.3,mixed,0.0,0.6,0.9973519214545197,0.5503820673406815,0.0,2,16,1.1137940422784771,0.6479174628558808,0.0,2,14,0.11644212082395744,0.0975353955151993,0.0,3
50,2,0.3,mixed,0.0,0.6,81.42279378060401,40.74308834805717,-0.06666666666666665,2,14,272.45785197752167,136.32778844773355,-0.13333333333333325,2,16,191.03505819691765,95.58470009967638,0.0666666666666666,4
50,2,0.3,mixed,0.0,0.6,0.9018233562880315,0.5076779360243621,-0.06666666666666665,2,10,0.08924670683209271,0.0657563427861433,0.13333333333333341,2,16,-0.8125766494559388,-0.4419215932382188,0.06666666666666676,5
50,2,0.3,mixed,0.0,0.6,5.0888098013097265,2.584852661308524,-0.06666666666666665,2,15,12.684255131680882,6.376867783015781,-0.13333333333333325,2,11,7.595445330371155,3.792015121707257,0.0666666666666666,6
50,2,0.3,mixed,0.0,0.6,0.22604709891710578,0.17123034198745757,0.06666666666666676,2,18,2.6711972456150463,1.3535577587202134,-0.13333333333333336,2,15,2.4451501466979404,1.1823274167327558,0.0666666666666666,7
50,2,0.3,mixed,0.0,0.6,0.10472271721177794,0.06169845543961485,0.0,2,16,0.2562371592139747,0.15773893120337518,0.06666666666666654,2,15,0.15151444200219677,0.09604047576376032,0.06666666666666654,8
50,2,0.3,mixed,0.0,0.6,0.1099071536306596,0.07816263268098979,0.06666666666666676,2,16,0.5218063495494265,0.2926108348368181,0.0,2,13,0.4118991959187669,0.21444820215582833,-0.06666666666666676,9
